Goethe-Zertifikat | Reason: possible_proper_noun | Context: Training zur Prüfung Goethe-Zertifikat Spiros Koukidis Jorina...
Spiros | Reason: possible_proper_noun | Context: zur Prüfung Goethe-Zertifikat Spiros Koukidis Jorina Grünewald...
Koukidis | Reason: possible_proper_noun | Context: Prüfung Goethe-Zertifikat Spiros Koukidis Jorina Grünewald Melanie...
Jorina | Reason: possible_proper_noun | Context: Goethe-Zertifikat Spiros Koukidis Jorina Grünewald Melanie Liaropoulou...
Melanie | Reason: possible_proper_noun | Context: Koukidis Jorina Grünewald Melanie Liaropoulou Georgina Lymperopoulou...
Liaropoulou | Reason: possible_proper_noun | Context: Jorina Grünewald Melanie Liaropoulou Georgina Lymperopoulou Glossar...
Georgina | Reason: possible_proper_noun | Context: Grünewald Melanie Liaropoulou Georgina Lymperopoulou Glossar Deutsch...
Lymperopoulou | Reason: possible_proper_noun | Context: Melanie Liaropoulou Georgina Lymperopoulou Glossar Deutsch Griechisch...
Georgina | Reason: possible_proper_noun | Context: Grünewald Melanie Liaropoulou Georgina Lymperopoulou Glossar Deutsch...
Lymperopoulou | Reason: possible_proper_noun | Context: Melanie Liaropoulou Georgina Lymperopoulou Glossar Deutsch Griechisch...
FaD | Reason: possible_proper_noun | Context: von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Spezialverlag | Reason: possible_proper_noun | Context: Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF | Reason: possible_proper_noun | Context: Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Bezug | Reason: possible_proper_noun | Context: e betreffen in Bezug auf AKK der...
AKK | Reason: abbreviation | Context: in Bezug auf AKK der Tabakkonzern e...
FaD | Reason: possible_proper_noun | Context: von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Arbeitsforschung | Reason: possible_proper_noun | Context: das Institut für Arbeitsforschung vorgelagert das Ultrakurzzeitgedächtnis...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
Netzwerk | Reason: possible_proper_noun | Context: bestimmen das neuronale Netzwerk die Gehirnregion en...
Spezialverlag | Reason: possible_proper_noun | Context: Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF | Reason: possible_proper_noun | Context: Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
Hildesheim | Reason: possible_proper_noun | Context: der die Hildesheimer Hildesheim die Multiple Choice-Aufgabe...
Choice-Aufgabe | Reason: possible_proper_noun | Context: Hildesheim die Multiple Choice-Aufgabe n der Taucher...
FaD | Reason: possible_proper_noun | Context: von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
Leben | Reason: possible_proper_noun | Context: Wertvorstellung en vom Leben verwöhnt aus werten...
Spezialverlag | Reason: possible_proper_noun | Context: Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF | Reason: possible_proper_noun | Context: Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
GEN | Reason: abbreviation | Context: die Verletzlichkeit binnen GEN kognitiv erzielen sich...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
FaD | Reason: possible_proper_noun | Context: von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Zuge | Reason: possible_proper_noun | Context: Macht ergreifen im Zuge GEN die industrielle...
GEN | Reason: abbreviation | Context: die Verletzlichkeit binnen GEN kognitiv erzielen sich...
Revolution | Reason: possible_proper_noun | Context: GEN die industrielle Revolution nach und nach...
Brennpunkt | Reason: possible_proper_noun | Context: e der soziale Brennpunkt e hotspot bezeichnen...
Spezialverlag | Reason: possible_proper_noun | Context: Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF | Reason: possible_proper_noun | Context: Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Studien | Reason: possible_proper_noun | Context: hochgestochen zwanglos soziologische Studien Pl der Soziologe...
Ressourcen | Reason: possible_proper_noun | Context: e die ökonomischen Ressourcen Pl fein sozial...
Individuen | Reason: possible_proper_noun | Context: Abstieg das Individuum Individuen mangels GEN die...
GEN | Reason: abbreviation | Context: die Verletzlichkeit binnen GEN kognitiv erzielen sich...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
GEN | Reason: abbreviation | Context: die Verletzlichkeit binnen GEN kognitiv erzielen sich...
FaD | Reason: possible_proper_noun | Context: von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Schicht | Reason: possible_proper_noun | Context: Werkstatt die soziale Schicht en registrieren analog...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
Einklang | Reason: possible_proper_noun | Context: Bedürfnis se in Einklang bringen ungestört die...
Kognitive | Reason: possible_proper_noun | Context: differenzieren das für Kognitive Neurowissenschaften vor spielen...
Neurowissenschaften | Reason: possible_proper_noun | Context: das für Kognitive Neurowissenschaften vor spielen die...
REM | Reason: abbreviation | Context: die Non-REM-Schlaf-Phase n REM das Familienmitglied er...
Spezialverlag | Reason: possible_proper_noun | Context: Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF | Reason: possible_proper_noun | Context: Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
GEN | Reason: abbreviation | Context: die Verletzlichkeit binnen GEN kognitiv erzielen sich...
FaD | Reason: possible_proper_noun | Context: von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
AKK | Reason: abbreviation | Context: in Bezug auf AKK der Tabakkonzern e...
Leiden | Reason: possible_proper_noun | Context: derzeit das psychische Leiden bestehen in DAT...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
Schichten | Reason: possible_proper_noun | Context: kontraproduktiv in dichten Schichten in Watte gepackt...
Watte | Reason: possible_proper_noun | Context: dichten Schichten in Watte gepackt auf wachsen...
Licht | Reason: possible_proper_noun | Context: Adoleszenz in besserem Licht betrachten das Argument...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
Spezialverlag | Reason: possible_proper_noun | Context: Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF | Reason: possible_proper_noun | Context: Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Wesentlichen | Reason: possible_proper_noun | Context: Publikation en im Wesentlichen die Mischung en...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
AKK | Reason: abbreviation | Context: in Bezug auf AKK der Tabakkonzern e...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
FaD | Reason: possible_proper_noun | Context: von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Fleck | Reason: possible_proper_noun | Context: Werkstatt unerschrocken vom Fleck kommen die motivierenden...
Worte | Reason: possible_proper_noun | Context: kommen die motivierenden Worte zum Trotz DAT...
Trotz | Reason: possible_proper_noun | Context: motivierenden Worte zum Trotz DAT Test Lesen...
DAT | Reason: abbreviation | Context: beteiligt sein an DAT die Kapazität bestimmen...
AKK | Reason: abbreviation | Context: in Bezug auf AKK der Tabakkonzern e...
